# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,F,LeBron James,24.0,CLE,610.0,610.0,1.0,122.0,0.0,0.0,81.0,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,2009,all-nba
1st,G,Kobe Bryant,30.0,LAL,604.0,610.0,0.99,119.0,3.0,0.0,82.0,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,2009,all-nba
1st,C,Dwight Howard,23.0,ORL,598.0,610.0,0.98,116.0,,,79.0,35.7,20.6,13.8,1.4,1.0,2.9,0.572,0.0,0.594,13.8,0.234,2009,all-nba
1st,G,Dwyane Wade,27.0,MIA,572.0,610.0,0.938,103.0,,,79.0,38.6,30.2,5.0,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,2009,all-nba
1st,F,Dirk Nowitzki,30.0,DAL,383.0,610.0,0.628,35.0,,,81.0,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,2009,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2009,all-nba
2nd,G,Chris Paul,23.0,NOH,424.0,610.0,0.695,32.0,,,78.0,38.5,22.8,5.5,11.0,2.8,0.1,0.503,0.364,0.868,18.3,0.292,2009,all-nba
2nd,F,Tim Duncan,32.0,SAS,378.0,610.0,0.62,39.0,,,75.0,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0.0,0.692,10.1,0.191,2009,all-nba
2nd,C,Yao Ming,28.0,HOU,354.0,610.0,0.58,8.0,,,77.0,33.6,19.7,9.9,1.8,0.4,1.9,0.548,1.0,0.866,10.6,0.196,2009,all-nba
2nd,F,Paul Pierce,31.0,BOS,330.0,610.0,0.541,27.0,,,81.0,37.5,20.5,5.6,3.6,1.0,0.3,0.457,0.391,0.83,10.3,0.164,2009,all-nba
2nd,G,Brandon Roy,24.0,POR,189.0,610.0,0.31,0.0,,,78.0,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223,2009,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2009,all-nba
3rd,F,Pau Gasol,28.0,LAL,165.0,610.0,0.27,2.0,,,81.0,37.0,18.9,9.6,3.5,0.6,1.0,0.567,0.5,0.781,13.9,0.223,2009,all-nba
3rd,G,Tony Parker,26.0,SAS,158.0,610.0,0.259,1.0,,,72.0,34.1,22.0,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,2009,all-nba
3rd,G,Chauncey Billups,32.0,TOT,131.0,610.0,0.215,0.0,,,79.0,35.3,17.7,3.0,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174,2009,all-nba
3rd,F,Carmelo Anthony,24.0,DEN,116.0,610.0,0.19,2.0,,,66.0,34.5,22.8,6.8,3.4,1.1,0.4,0.443,0.371,0.793,5.0,0.105,2009,all-nba
