# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
,,,,,,,,,,,,,,,,,,,,,,,2022,all-nba
1T,F,Giannis Antetokounmpo,27.0,MIL,500.0,500.0,1.0,100.0,0.0,0.0,67.0,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281,2022,all-nba
1T,G,Luka Dončić,22.0,DAL,476.0,500.0,0.952,88.0,12.0,0.0,65.0,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159,2022,all-nba
1T,C,Nikola Jokić,26.0,DEN,476.0,500.0,0.952,88.0,12.0,0.0,74.0,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296,2022,all-nba
1T,G,Devin Booker,25.0,PHO,460.0,500.0,0.92,82.0,16.0,2.0,68.0,34.5,26.8,5.0,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156,2022,all-nba
1T,F,Jayson Tatum,23.0,BOS,390.0,500.0,0.78,49.0,47.0,4.0,76.0,35.9,26.9,8.0,4.4,1.0,0.6,0.453,0.353,0.853,9.6,0.169,2022,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2022,all-nba
2T,C,Joel Embiid,27.0,PHI,414.0,500.0,0.828,57.0,43.0,0.0,68.0,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12.0,0.252,2022,all-nba
2T,G,Ja Morant,22.0,MEM,301.0,500.0,0.602,13.0,76.0,8.0,57.0,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171,2022,all-nba
2T,F,Kevin Durant,33.0,BRK,276.0,500.0,0.552,10.0,68.0,22.0,55.0,37.2,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,8.4,0.198,2022,all-nba
2T,G,Stephen Curry,33.0,GSW,274.0,500.0,0.548,9.0,69.0,22.0,64.0,34.5,25.5,5.2,6.3,1.3,0.4,0.437,0.38,0.923,8.0,0.173,2022,all-nba
2T,F,DeMar DeRozan,32.0,CHI,184.0,500.0,0.368,2.0,39.0,57.0,76.0,36.1,27.9,5.2,4.9,0.9,0.3,0.504,0.352,0.877,8.8,0.154,2022,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2022,all-nba
3T,C,Karl-Anthony Towns,26.0,MIN,174.0,500.0,0.348,0.0,38.0,60.0,74.0,33.5,24.6,9.8,3.6,1.0,1.1,0.529,0.41,0.822,10.3,0.199,2022,all-nba
3T,F,LeBron James,37.0,LAL,169.0,500.0,0.338,2.0,35.0,54.0,56.0,37.2,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,7.5,0.172,2022,all-nba
3T,G,Chris Paul,36.0,PHO,114.0,500.0,0.228,0.0,16.0,66.0,65.0,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.21,2022,all-nba
3T,G,Trae Young,23.0,ATL,110.0,500.0,0.22,0.0,11.0,77.0,76.0,34.9,28.4,3.7,9.7,0.9,0.1,0.46,0.382,0.904,10.0,0.181,2022,all-nba
3T,F,Pascal Siakam,27.0,TOR,63.0,500.0,0.126,0.0,7.0,42.0,68.0,37.9,22.8,8.5,5.3,1.3,0.6,0.494,0.344,0.749,8.1,0.151,2022,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2022,all-nba
ORV,C,Rudy Gobert,29.0,UTA,45.0,500.0,0.09,0.0,5.0,30.0,66.0,32.1,15.6,14.7,1.1,0.7,2.1,0.713,0.0,0.69,11.7,0.264,2022,all-nba
ORV,F,Jimmy Butler,32.0,MIA,32.0,500.0,0.064,0.0,2.0,26.0,57.0,33.9,21.4,5.9,5.5,1.6,0.5,0.48,0.233,0.87,9.2,0.228,2022,all-nba
ORV,C,Bam Adebayo,24.0,MIA,28.0,500.0,0.056,0.0,4.0,16.0,56.0,32.6,19.1,10.1,3.4,1.4,0.8,0.557,0.0,0.753,7.2,0.188,2022,all-nba
ORV,G,Donovan Mitchell,25.0,UTA,4.0,500.0,0.008,0.0,0.0,4.0,67.0,33.8,25.9,4.2,5.3,1.5,0.2,0.448,0.355,0.853,7.2,0.152,2022,all-nba
ORV,F,Jaylen Brown,25.0,BOS,3.0,500.0,0.006,0.0,0.0,3.0,66.0,33.6,23.6,6.1,3.5,1.1,0.3,0.473,0.358,0.758,5.8,0.124,2022,all-nba
ORV,F,Desmond Bane,23.0,MEM,1.0,500.0,0.002,0.0,0.0,1.0,76.0,29.8,18.2,4.4,2.7,1.2,0.4,0.461,0.436,0.903,7.2,0.153,2022,all-nba
ORV,G,Mikal Bridges,25.0,PHO,1.0,500.0,0.002,0.0,0.0,1.0,82.0,34.8,14.2,4.2,2.3,1.2,0.4,0.534,0.369,0.834,8.9,0.15,2022,all-nba
ORV,G,Jrue Holiday,31.0,MIL,1.0,500.0,0.002,0.0,0.0,1.0,67.0,33.0,18.3,4.5,6.8,1.6,0.4,0.501,0.411,0.761,6.9,0.15,2022,all-nba
ORV,G,Kyrie Irving,29.0,BRK,1.0,500.0,0.002,0.0,0.0,1.0,29.0,37.6,27.4,4.4,5.8,1.4,0.6,0.469,0.418,0.915,3.3,0.147,2022,all-nba
ORV,F,Khris Middleton,30.0,MIL,1.0,500.0,0.002,0.0,0.0,1.0,66.0,32.4,20.1,5.4,5.4,1.2,0.3,0.443,0.373,0.89,5.3,0.119,2022,all-nba
ORV,G,Dejounte Murray,25.0,SAS,1.0,500.0,0.002,0.0,0.0,1.0,68.0,34.8,21.1,8.3,9.2,2.0,0.3,0.462,0.327,0.794,7.3,0.149,2022,all-nba
ORV,G,Fred VanVleet,27.0,TOR,1.0,500.0,0.002,0.0,0.0,1.0,65.0,37.9,20.3,4.4,6.7,1.7,0.5,0.403,0.377,0.874,6.7,0.131,2022,all-nba
