Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1,Marc Gasol,28,MEM,30,212,605,0.35,80,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5,0.197,5.4,3.1,98,2013,dpoy
2,LeBron James,28,MIA,18,149,605,0.246,76,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,4.7,2.4,101,2013,dpoy
3,Serge Ibaka,23,OKC,14,122,605,0.202,80,31.1,13.2,7.7,0.5,0.4,3.0,0.573,0.351,0.749,9.4,0.181,4.1,0.7,101,2013,dpoy
4,Joakim Noah,27,CHI,13,107,605,0.177,66,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.0,0.751,7.3,0.145,4.7,2.7,99,2013,dpoy
5,Tony Allen,31,MEM,9,102,605,0.169,79,26.7,8.9,4.6,1.2,1.5,0.6,0.445,0.125,0.717,5.1,0.115,4.1,2.4,98,2013,dpoy
6,Tim Duncan,36,SAS,11,94,605,0.155,69,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,4.9,2.9,95,2013,dpoy
7,Larry Sanders,24,MIL,4,90,605,0.149,71,27.3,9.8,9.5,1.2,0.7,2.8,0.506,0.0,0.618,6.0,0.149,3.7,2.0,99,2013,dpoy
8,Paul George,22,IND,8,57,605,0.094,79,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9.0,0.145,6.3,2.3,97,2013,dpoy
9,Andre Iguodala,29,DEN,5,43,605,0.071,80,34.7,13.0,5.3,5.4,1.7,0.7,0.451,0.317,0.574,5.6,0.097,3.2,1.4,105,2013,dpoy
10,Roy Hibbert,26,IND,3,36,605,0.06,79,28.7,11.9,8.3,1.4,0.5,2.6,0.448,0.25,0.741,6.1,0.129,4.9,1.4,97,2013,dpoy
11,Chris Paul,27,LAC,2,19,605,0.031,70,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,3.4,2.4,102,2013,dpoy
12,Avery Bradley,22,BOS,2,15,605,0.025,50,28.7,9.2,2.2,2.1,1.3,0.4,0.402,0.317,0.755,0.4,0.012,1.6,0.3,105,2013,dpoy
13,Tyson Chandler,30,NYK,0,11,605,0.018,66,32.8,10.4,10.7,0.9,0.6,1.1,0.638,,0.694,9.3,0.207,2.6,-0.3,104,2013,dpoy
14,Dwight Howard,27,LAL,1,9,605,0.015,76,35.8,17.1,12.4,1.4,1.1,2.4,0.578,0.167,0.492,7.6,0.134,4.8,1.1,100,2013,dpoy
15,Luol Deng,27,CHI,1,6,605,0.01,75,38.7,16.5,6.3,3.0,1.1,0.4,0.426,0.322,0.816,6.3,0.105,3.3,-0.3,105,2013,dpoy
16,Dwyane Wade,31,MIA,0,4,605,0.007,69,34.7,21.2,5.0,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,3.5,0.7,103,2013,dpoy
17T,Trevor Ariza,27,WAS,0,3,605,0.005,56,26.3,9.5,4.8,2.0,1.3,0.4,0.417,0.364,0.821,3.1,0.102,2.4,2.0,101,2013,dpoy
17T,Jimmy Butler,23,CHI,0,3,605,0.005,82,26.0,8.6,4.0,1.4,1.0,0.4,0.467,0.381,0.803,7.0,0.158,2.6,1.0,104,2013,dpoy
17T,Kenneth Faried,23,DEN,0,3,605,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,0.552,,0.613,7.8,0.167,3.4,0.2,102,2013,dpoy
17T,Russell Westbrook,24,OKC,0,3,605,0.005,82,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,3.9,-0.2,103,2013,dpoy
21,Mike Conley,25,MEM,0,1,605,0.002,80,34.5,14.6,2.8,6.1,2.2,0.3,0.44,0.362,0.83,9.9,0.172,4.7,2.3,100,2013,dpoy
