Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Blake Griffin,21,LAC,118,590,590,1.0,82,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,2011,roy
2,John Wall,20,WAS,0,295,590,0.5,69,37.8,16.4,4.6,8.3,1.8,0.5,0.409,0.296,0.766,2.2,0.041,2011,roy
3,DeMarcus Cousins,20,SAC,0,81,590,0.137,81,28.5,14.1,8.6,2.5,1.0,0.8,0.43,0.167,0.687,1.1,0.022,2011,roy
4,Landry Fields,22,NYK,0,62,590,0.105,82,31.0,9.7,6.4,1.9,1.0,0.2,0.497,0.393,0.769,5.3,0.1,2011,roy
5,Gary Neal,26,SAS,0,19,590,0.032,80,21.1,9.8,2.5,1.2,0.3,0.1,0.451,0.419,0.808,3.5,0.099,2011,roy
6,Greg Monroe,20,DET,0,15,590,0.025,80,27.8,9.4,7.5,1.3,1.2,0.6,0.551,0.0,0.622,6.6,0.143,2011,roy
