Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1,Sidney Moncrief,26,MIL,19,19,76,0.25,79,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198,4.2,0.4,105,1984,dpoy
2,Mark Eaton,27,UTA,14,14,76,0.184,82,26.1,5.6,7.3,1.4,0.3,4.3,0.466,0.0,0.593,3.7,0.084,3.5,3.7,102,1984,dpoy
3,Dennis Johnson,29,BOS,7,7,76,0.092,80,33.3,13.2,3.5,4.2,1.2,0.7,0.437,0.125,0.852,5.7,0.102,3.2,0.6,106,1984,dpoy
4T,Maurice Cheeks,27,PHI,5,5,76,0.066,75,33.3,12.7,2.7,6.4,2.3,0.3,0.55,0.4,0.733,7.3,0.141,3.4,1.6,105,1984,dpoy
4T,Michael Cooper,27,LAL,5,5,76,0.066,82,29.1,9.0,3.2,5.9,1.4,0.8,0.497,0.314,0.838,6.5,0.13,2.6,1.7,107,1984,dpoy
4T,Bobby Jones,32,PHI,5,5,76,0.066,75,23.5,8.3,4.3,2.5,1.4,1.4,0.523,0.0,0.784,6.0,0.163,3.2,3.4,101,1984,dpoy
7,T.R. Dunn,28,DEN,4,4,76,0.053,80,33.8,5.7,7.2,2.9,2.2,0.4,0.47,0.0,0.731,4.1,0.073,2.1,1.2,110,1984,dpoy
8,Rickey Green,29,UTA,3,3,76,0.039,81,34.2,13.2,2.8,9.2,2.7,0.2,0.486,0.118,0.821,7.9,0.138,3.0,1.2,107,1984,dpoy
9T,Larry Nance,24,PHO,2,2,76,0.026,82,35.4,17.7,8.3,2.6,1.0,2.1,0.576,0.0,0.707,9.8,0.163,3.7,0.9,106,1984,dpoy
9T,Calvin Natt,27,POR,2,2,76,0.026,79,33.4,16.2,6.0,2.3,0.9,0.3,0.583,0.118,0.797,8.4,0.154,2.1,-0.7,109,1984,dpoy
9T,Rory Sparrow,25,NYK,2,2,76,0.026,79,30.8,10.4,2.4,6.8,1.3,0.1,0.474,0.256,0.824,4.2,0.083,3.1,0.0,106,1984,dpoy
12T,Larry Bird,27,BOS,1,1,76,0.013,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,5.6,2.0,101,1984,dpoy
12T,Magic Johnson,24,LAL,1,1,76,0.013,67,38.3,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,10.2,0.191,3.6,1.8,105,1984,dpoy
12T,Bill Laimbeer,26,DET,1,1,76,0.013,82,34.9,17.3,12.2,1.8,0.6,1.0,0.53,0.0,0.866,10.8,0.181,3.5,-0.7,106,1984,dpoy
12T,Moses Malone,28,PHI,1,1,76,0.013,71,36.8,22.7,13.4,1.4,1.0,1.5,0.483,0.0,0.75,9.5,0.175,4.6,-1.2,102,1984,dpoy
12T,Tree Rollins,28,ATL,1,1,76,0.013,77,30.5,8.6,7.7,0.8,0.5,3.6,0.518,,0.621,5.5,0.113,3.8,2.3,103,1984,dpoy
12T,Lonnie Shelton,28,CLE,1,1,76,0.013,79,26.6,10.8,4.8,2.3,1.0,0.7,0.476,0.2,0.764,2.1,0.048,2.1,0.3,108,1984,dpoy
12T,Mychal Thompson,29,POR,1,1,76,0.013,79,33.5,15.7,8.7,3.9,1.1,1.4,0.524,0.0,0.667,6.9,0.125,3.3,0.8,106,1984,dpoy
12T,Jamaal Wilkes,30,LAL,1,1,76,0.013,75,33.4,17.3,4.5,2.9,1.0,0.5,0.514,0.25,0.743,6.0,0.115,2.0,-0.9,110,1984,dpoy
