Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1,Jaren Jackson Jr.,23,MEM,56,391,500,0.782,63,28.4,18.6,6.8,1.0,1.0,3.0,0.506,0.355,0.788,6.6,0.177,3.8,2.0,105,2023,dpoy
2,Brook Lopez,34,MIL,31,309,500,0.618,78,30.4,15.9,6.7,1.3,0.5,2.5,0.531,0.374,0.784,8.0,0.161,3.9,1.3,109,2023,dpoy
3,Evan Mobley,21,CLE,8,101,500,0.202,79,34.4,16.2,9.0,2.8,0.8,1.5,0.554,0.216,0.674,8.5,0.151,4.8,1.6,108,2023,dpoy
4,Draymond Green,32,GSW,3,34,500,0.068,73,31.5,8.5,7.2,6.8,1.0,0.8,0.527,0.305,0.713,4.7,0.098,3.1,2.6,112,2023,dpoy
5,Bam Adebayo,25,MIA,1,18,500,0.036,75,34.6,20.4,9.2,3.2,1.2,0.8,0.54,0.083,0.806,7.4,0.137,3.8,0.8,111,2023,dpoy
6,Giannis Antetokounmpo,28,MIL,0,14,500,0.028,63,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204,3.7,2.7,108,2023,dpoy
7T,OG Anunoby,25,TOR,0,8,500,0.016,67,35.6,16.8,5.0,2.0,1.9,0.7,0.476,0.387,0.838,4.7,0.094,2.9,0.7,113,2023,dpoy
7T,Jrue Holiday,32,MIL,0,8,500,0.016,67,32.6,19.3,5.1,7.4,1.2,0.4,0.479,0.384,0.859,6.7,0.148,2.8,0.1,112,2023,dpoy
9T,Joel Embiid,28,PHI,1,7,500,0.014,66,34.6,33.1,10.2,4.2,1.0,1.7,0.548,0.33,0.857,12.3,0.259,3.9,2.3,109,2023,dpoy
9T,Nic Claxton,23,BRK,0,7,500,0.014,76,29.9,12.6,9.2,1.9,0.9,2.5,0.705,0.0,0.541,9.2,0.195,4.0,2.2,108,2023,dpoy
11,Alex Caruso,28,CHI,0,2,500,0.004,67,23.5,5.6,2.9,2.9,1.5,0.7,0.455,0.364,0.808,3.6,0.109,2.6,3.3,109,2023,dpoy
12,Jimmy Butler,33,MIA,0,1,500,0.002,64,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,12.3,0.277,2.9,2.0,112,2023,dpoy
