TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Philadelphia 76ers,82,82,26.4,809,1753,46.1,59.2,10.0,353,665,53.1,16.4,456,1088,41.9
Cleveland Cavaliers,82,82,24.7,686,1618,42.4,55.4,7.9,265,519,51.1,16.8,421,1099,38.3
Houston Rockets,82,82,23.4,704,1582,44.5,56.4,9.3,328,627,52.3,14.1,376,955,39.4
Oklahoma City Thunder,82,82,24.9,673,1577,42.7,55.5,8.6,270,546,49.5,16.3,403,1031,39.1
Los Angeles Lakers,82,82,22.8,699,1571,44.5,56.0,9.1,339,631,53.7,13.6,360,940,38.3
Orlando Magic,82,82,23.7,668,1540,43.4,55.0,9.5,310,616,50.3,14.2,358,924,38.7
Detroit Pistons,82,82,23.9,669,1533,43.6,56.5,7.9,276,507,54.4,16.0,393,1026,38.3
Utah Jazz,82,82,24.0,668,1502,44.5,56.8,9.4,297,591,50.3,14.5,371,911,40.7
Minnesota Timberwolves,82,82,22.2,665,1496,44.5,56.1,8.8,315,595,52.9,13.4,350,901,38.8
Milwaukee Bucks,81,81,23.8,658,1488,44.2,57.8,7.8,254,490,51.8,16.0,404,998,40.5
Sacramento Kings,81,81,23.5,678,1484,45.7,58.4,8.8,300,557,53.9,14.7,378,927,40.8
New York Knicks,82,82,24.5,662,1475,44.9,59.0,7.4,245,447,54.8,17.1,417,1028,40.6
Denver Nuggets,82,82,21.9,647,1448,44.7,55.9,9.4,321,623,51.5,12.5,326,825,39.5
Chicago Bulls,82,82,22.9,605,1426,42.4,53.3,10.0,296,621,47.7,12.9,309,805,38.4
Washington Wizards,81,81,22.8,601,1406,42.7,53.9,8.8,286,545,52.5,13.9,315,861,36.6
Atlanta Hawks,81,81,21.7,613,1395,43.9,56.5,8.1,263,520,50.6,13.6,350,875,40.0
Dallas Mavericks,82,82,22.0,621,1390,44.7,58.6,6.8,235,430,54.7,15.2,386,960,40.2
Portland Trail Blazers,82,82,20.3,589,1385,42.5,52.1,9.6,324,655,49.5,10.7,265,730,36.3
New Orleans Pelicans,82,82,22.9,611,1383,44.2,57.4,7.8,244,469,52.0,15.1,367,914,40.2
Miami Heat,82,82,22.0,588,1342,43.8,56.1,7.9,258,483,53.4,14.1,330,859,38.4
Brooklyn Nets,81,81,21.5,601,1316,45.7,58.8,7.5,256,460,55.7,14.0,345,856,40.3
Boston Celtics,82,82,20.8,554,1316,42.1,53.1,8.2,264,517,51.1,12.6,290,799,36.3
Charlotte Bobcats,81,81,20.6,581,1305,44.5,57.0,7.8,254,494,51.4,12.8,327,811,40.3
Los Angeles Clippers,82,82,19.8,544,1300,41.8,52.6,7.9,265,520,51.0,11.9,279,780,35.8
Memphis Grizzlies,82,82,20.7,573,1267,45.2,57.1,8.4,272,517,52.6,12.3,301,750,40.1
Golden State Warriors,81,81,19.6,556,1257,44.2,55.3,8.3,277,535,51.8,11.2,279,722,38.6
Toronto Raptors,81,81,20.4,563,1254,44.9,57.7,7.6,241,464,51.9,12.9,322,790,40.8
Phoenix Suns,82,82,19.3,543,1248,43.5,55.2,7.4,251,481,52.2,11.9,292,767,38.1
Indiana Pacers,82,82,19.0,522,1202,43.4,53.3,8.7,285,550,51.8,10.3,237,652,36.3
San Antonio Spurs,82,82,17.2,482,1127,42.8,53.6,7.7,238,503,47.3,9.5,244,624,39.1
