TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Minnesota Timberwolves,82,82,20.4,752,1326,56.7,56.8,20.1,750,1308,57.3,0.3,2,18,11.1
Los Angeles Lakers,82,82,19.4,706,1302,54.2,54.8,18.7,690,1256,54.9,0.7,16,46,34.8
Utah Jazz,82,82,20.4,686,1264,54.3,54.8,19.7,672,1221,55.0,0.7,14,43,32.6
Chicago Bulls,82,82,18.3,666,1237,53.8,54.1,18.0,660,1220,54.1,0.3,6,17,35.3
Oklahoma City Thunder,82,82,18.3,685,1231,55.6,55.8,18.0,682,1205,56.6,0.4,3,26,11.5
Portland Trail Blazers,82,82,18.5,659,1227,53.7,54.7,17.7,635,1169,54.3,0.9,24,58,41.4
Milwaukee Bucks,82,82,18.7,716,1186,60.4,61.0,18.1,701,1145,61.2,0.6,15,41,36.6
Brooklyn Nets,81,81,18.1,649,1164,55.8,56.3,17.5,636,1128,56.4,0.6,13,36,36.1
Phoenix Suns,80,80,17.4,622,1159,53.7,54.0,16.9,614,1126,54.5,0.5,8,33,24.2
Denver Nuggets,81,81,17.0,676,1137,59.5,59.6,16.6,672,1112,60.4,0.4,4,25,16.0
New York Knicks,82,82,16.5,580,1134,51.1,51.3,16.2,576,1115,51.7,0.3,4,19,21.1
Detroit Pistons,82,82,16.3,594,1130,52.6,52.8,16.0,589,1110,53.1,0.3,5,20,25.0
Indiana Pacers,81,81,17.3,636,1115,57.0,57.5,16.8,625,1081,57.8,0.5,11,34,32.4
Miami Heat,82,82,16.7,602,1106,54.4,54.9,16.1,592,1067,55.5,0.6,10,39,25.6
Toronto Raptors,81,81,17.1,573,1101,52.0,52.8,16.4,557,1053,52.9,0.7,16,48,33.3
New Orleans Pelicans,82,82,15.7,562,1066,52.7,52.9,15.5,559,1050,53.2,0.2,3,16,18.8
Philadelphia 76ers,82,82,16.2,600,1061,56.6,56.8,15.9,595,1039,57.3,0.3,5,22,22.7
Boston Celtics,82,82,16.2,591,1061,55.7,56.4,15.3,576,1004,57.4,0.9,15,57,26.3
Golden State Warriors,82,82,15.1,567,1034,54.8,55.4,14.5,556,990,56.2,0.6,11,44,25.0
Memphis Grizzlies,82,82,15.9,531,1024,51.9,52.1,15.4,526,993,53.0,0.5,5,31,16.1
Charlotte Hornets,82,82,15.6,556,1020,54.5,55.8,14.3,529,936,56.5,1.3,27,84,32.1
San Antonio Spurs,81,81,15.7,568,1016,55.9,56.3,15.4,560,994,56.3,0.3,8,22,36.4
Washington Wizards,82,82,14.7,537,995,54.0,54.1,14.5,534,977,54.7,0.3,3,18,16.7
Atlanta Hawks,82,82,15.3,510,993,51.4,51.7,14.9,504,969,52.0,0.4,6,24,25.0
Sacramento Kings,82,82,15.7,530,991,53.5,53.7,15.4,525,969,54.2,0.3,5,22,22.7
Orlando Magic,82,82,14.5,540,973,55.5,55.8,14.1,535,943,56.7,0.4,5,30,16.7
LA Clippers,82,82,14.5,509,954,53.4,54.2,13.7,493,896,55.0,0.9,16,58,27.6
Houston Rockets,82,82,14.0,551,940,58.6,59.3,13.2,538,887,60.7,0.8,13,53,24.5
Cleveland Cavaliers,82,82,13.7,538,909,59.2,60.0,13.1,523,863,60.6,0.7,15,46,32.6
Dallas Mavericks,81,81,11.1,398,708,56.2,56.7,10.6,391,680,57.5,0.4,7,28,25.0
